County,County Code,Population
"Autauga County, AL",1001,332509
"Baldwin County, AL",1003,1238573
"Barbour County, AL",1005,156568
"Bibb County, AL",1007,135312
"Blount County, AL",1009,346821
"Bullock County, AL",1011,62908
"Butler County, AL",1013,120218
"Calhoun County, AL",1015,691888
"Chambers County, AL",1017,203532
"Cherokee County, AL",1019,155713
"Chilton County, AL",1021,263986
"Choctaw County, AL",1023,78698
"Clarke County, AL",1025,147222
"Clay County, AL",1027,80727
"Cleburne County, AL",1029,89903
"Coffee County, AL",1031,308067
"Colbert County, AL",1033,326895
"Conecuh County, AL",1035,75370
"Coosa County, AL",1037,64558
"Covington County, AL",1039,225171
"Crenshaw County, AL",1041,83534
"Cullman County, AL",1043,492773
"Dale County, AL",1045,296341
"Dallas County, AL",1047,242371
"DeKalb County, AL",1049,427110
"Elmore County, AL",1051,488710
"Escambia County, AL",1053,225428
"Etowah County, AL",1055,618339
"Fayette County, AL",1057,99989
"Franklin County, AL",1059,189315
"Geneva County, AL",1061,159565
"Greene County, AL",1063,50761
"Hale County, AL",1065,90148
"Henry County, AL",1067,103227
"Houston County, AL",1069,625158
"Jackson County, AL",1071,313818
"Jefferson County, AL",1073,3958657
"Lamar County, AL",1075,83916
"Lauderdale County, AL",1077,555732
"Lawrence County, AL",1079,199429
"Lee County, AL",1081,946717
"Limestone County, AL",1083,554624
"Lowndes County, AL",1085,62149
"Macon County, AL",1087,114375
"Madison County, AL",1089,2134812
"Marengo County, AL",1091,118407
"Marion County, AL",1093,180367
"Marshall County, AL",1095,570935
"Mobile County, AL",1097,2487145
"Monroe County, AL",1099,129780
"Montgomery County, AL",1101,1358125
"Morgan County, AL",1103,715878
"Perry County, AL",1105,57551
"Pickens County, AL",1107,121068
"Pike County, AL",1109,199665
"Randolph County, AL",1111,136009
"Russell County, AL",1113,351851
"St. Clair County, AL",1115,524987
"Shelby County, AL",1117,1259482
"Sumter County, AL",1119,78048
"Talladega County, AL",1121,483276
"Tallapoosa County, AL",1123,245117
"Tuscaloosa County, AL",1125,1229833
"Walker County, AL",1127,389499
"Washington County, AL",1129,100180
"Wilcox County, AL",1131,65796
"Winston County, AL",1133,143360
"Aleutians East Borough, AK",2013,19974
"Aleutians West Census Area, AK",2016,34096
"Anchorage Borough, AK",2020,1784741
"Bethel Census Area, AK",2050,107832
"Bristol Bay Borough, AK",2060,5451
"Denali Borough, AK",2068,11793
"Dillingham Census Area, AK",2070,29881
"Fairbanks North Star Borough, AK",2090,598703
"Haines Borough, AK",2100,15188
"Hoonah-Angoon Census Area, AK",2105,10589
"Juneau Borough, AK",2110,194497
"Kenai Peninsula Borough, AK",2122,348339
"Ketchikan Gateway Borough, AK",2130,82745
"Kodiak Island Borough, AK",2150,82535
"Lake and Peninsula Borough, AK",2164,9611
"Matanuska-Susitna Borough, AK",2170,612676
"Nome Census Area, AK",2180,59401
"North Slope Borough, AK",2185,58336
"Northwest Arctic Borough, AK",2188,46182
"Petersburg Borough/Census Area, AK",2195,15988
"Prince of Wales-Hyder Census Area, AK",2198,31949
"Prince of Wales-Outer Ketchikan Census Area, AK",2201,5786
"Sitka Borough, AK",2220,52949
"Skagway Municipality, AK",2230,5486
"Skagway-Hoonah-Angoon Census Area, AK",2232,3140
"Southeast Fairbanks Census Area, AK",2240,41437
"Valdez-Cordova Census Area, AK",2261,56410
"Wade Hampton Census Area, AK",2270,48660
"Wrangell City and Borough, AK",2275,12181
"Wrangell-Petersburg Census Area, AK",2280,6174
"Yakutat Borough, AK",2282,3700
"Yukon-Koyukuk Census Area, AK",2290,32993
"Apache County, AZ",4001,431772
"Cochise County, AZ",4003,760644
"Coconino County, AZ",4005,837856
"Gila County, AZ",4007,320277
"Graham County, AZ",4009,226242
"Greenlee County, AZ",4011,56475
