MSA_title,Population,Armed_Rob_Count,County Code
C1010,232722,1,46013
C1018,815776,1,48441
C1042,4224325,58,78286
C1046,393068,1,35035
C1050,848015,45,39593
C1054,733899,1,41043
C1058,5102524,30,144268
C1062,366297,4,37167
C1066,183826,3,27047
C1070,570935,2,1095
C1074,5358032,60,105105
C1078,791986,3,22079
C1082,223405,3,27041
C1090,4367966,29,126197
C1102,748461,3,42013
C1110,1514205,33,96756
C1114,183344,2,13261
C1118,575197,3,19169
C1122,297307,1,36057
C1126,2397417,36,4190
C1138,105991,1,48003
C1142,206224,1,18151
C1146,2173293,33,26161
C1150,691888,2,1015
C1154,1402195,5,110102
C1162,290924,2,40019
C1166,134963,1,5019
C1170,2566695,27,111197
C1178,591149,5,39007
C1182,230127,1,41007
C1190,393881,1,39009
C1194,316618,6,47107
C1198,480774,1,48213
C1202,745216,19,13059
C1206,32799040,391,262588
C1210,1631628,24,34001
C1218,469197,3,36011
C1222,946717,6,1081
C1226,3218016,76,84354
C1230,726729,11,23011
C1238,236506,3,27099
C1242,11921448,62,193174
C1246,161866,1,13087
C1254,5295560,22,6029
C1258,16763869,289,168618
C1262,914329,4,23019
C1266,382362,3,55111
C1268,271528,3,21179
C1270,1285370,8,25001
C1274,351863,7,50023
C1278,311397,1,40147
C1282,157322,1,22067
C1286,351502,1,36037
C1294,4633182,126,132360
C1298,807205,5,26025
C1302,631579,3,26017
C1314,1524880,24,48245
C1318,529121,3,55027
C1322,727051,20,108100
C1326,273895,1,18093
C1334,272222,2,39091
C1338,1290877,2,53073
C1342,276472,2,27007
C1346,1071788,1,41017
C1350,163589,2,45069
C1354,216837,3,50003
C1370,219211,1,48227
C1374,944398,4,30111
C1378,1172082,8,36007
C1382,6353933,97,5335
C1390,556741,2,38015
C1394,272913,2,16011
C1398,893850,3,153347
C1401,1039410,1,17113
C1402,869331,6,18105
C1414,618839,13,105240
C1418,258971,5,5093
C1422,278601,3,22117
C1426,3909142,12,32028
C1438,322826,1,37189
C1446,28697149,160,191127
C1450,1913571,2,8013
C1454,747322,8,21227
C1466,173687,1,27021
C1470,328339,1,29213
C1474,1569312,2,53035
C1486,5671316,74,9001
C1502,207309,2,28085
C1518,2529592,4,48061
C1526,502265,10,13127
C1538,6805517,88,72092
C1546,280358,3,36128
C1550,956961,22,37001
C1554,1262999,20,100018
C1558,207973,2,30093
C1562,198439,1,26165
C1566,340056,2,13129
C1568,669346,2,24037
C1570,194040,1,24019
C1578,145760,1,5103
C1586,282671,1,8043
C1594,2244061,20,39151
C1598,4258780,60,12071
C1602,469762,7,29031
C1606,756768,24,34276
C1610,341962,2,35015
C1618,328024,2,32510
C1622,484476,2,56025
C1626,296130,1,49021
C1630,1325463,25,19113
C1634,250171,1,13233
C1650,460961,1,53041
C1654,921535,11,42055
C1658,1428719,41,51219
C1662,1258244,25,108044
C1666,314745,4,17029
C1670,4509064,118,135069
C1674,14710867,255,394930
