MSA,Count
C10020,41.166666666666664
C10100,28.0
C10140,21.5
C10180,68.5
C10220,23.5
C10300,25.166666666666668
C10420,149.16666666666666
C10460,28.666666666666668
C10500,46.0
C10540,75.83333333333333
C10580,94.66666666666667
C10620,40.333333333333336
C10660,11.666666666666666
C10700,43.666666666666664
C10740,228.66666666666666
C10760,32.166666666666664
C10780,66.33333333333333
C10820,28.166666666666668
C10860,20.0
C10880,57.333333333333336
C10900,110.33333333333333
C10940,20.333333333333332
C10980,19.0
C11020,46.5
C11060,16.666666666666668
C11100,115.5
C11140,12.833333333333334
C11180,26.166666666666668
C11220,7.833333333333333
C11260,214.83333333333334
C11300,28.666666666666668
C11340,64.66666666666667
C11380,6.333333333333333
C11420,15.0
C11460,54.166666666666664
C11500,51.0
C11540,78.5
C11580,9.333333333333334
C11620,19.5
C11660,14.166666666666666
C11700,151.5
C11740,37.166666666666664
C11780,44.166666666666664
C11820,21.5
C11860,11.5
C11900,22.5
C11940,45.166666666666664
C11980,36.0
C12020,78.83333333333333
C12060,786.3333333333334
C12140,33.833333333333336
C12180,46.333333333333336
C12220,34.666666666666664
C12260,145.83333333333334
C12380,7.833333333333333
C12420,411.0
C12460,21.166666666666668
C12540,156.0
C12580,184.66666666666666
C12660,38.833333333333336
C12780,42.166666666666664
C12820,16.0
C12860,26.333333333333332
C12900,40.0
C12940,202.0
C12980,40.0
C13020,38.166666666666664
C13060,12.666666666666666
C13100,11.0
C13140,122.5
C13180,47.5
C13220,36.833333333333336
C13260,28.333333333333332
C13300,14.5
C13340,18.166666666666668
C13380,43.833333333333336
C13420,16.5
C13460,102.0
C13500,7.333333333333333
C13660,22.0
C13700,17.833333333333332
C13740,97.66666666666667
C13780,48.666666666666664
C13820,223.0
C13860,14.833333333333334
C13900,59.0
C13940,47.666666666666664
C13980,64.16666666666667
C14020,69.83333333333333
C14060,54.166666666666664
C14100,57.666666666666664
C14140,45.833333333333336
C14180,9.833333333333334
C14220,16.333333333333332
C14260,277.0
C14300,31.333333333333332
C14340,23.666666666666668
C14380,33.166666666666664
C14420,13.666666666666666
C14500,108.66666666666667
C14540,53.0
C14580,96.66666666666667
C14620,27.0
C14660,66.0
C14700,69.0
C14740,45.666666666666664
C14780,15.0
C14820,14.333333333333334
C14940,28.5
C15020,21.666666666666668
C15060,20.666666666666668
C15100,11.0
C15140,13.166666666666666
C15180,52.0
C15220,24.666666666666668
C15260,52.166666666666664
C15340,29.5
C15380,110.66666666666667
C15420,16.333333333333332
C15460,42.0
C15500,54.833333333333336
C15580,38.666666666666664
C15620,35.0
C15660,15.166666666666666
C15700,17.333333333333332
C15740,28.0
C15780,27.0
C15820,28.166666666666668
C15860,44.5
C15900,20.0
C15940,76.0
C15980,133.83333333333334
C16020,68.5
C16060,34.0
C16100,23.5
C16180,32.166666666666664
C16220,54.333333333333336
C16260,31.666666666666668
C16300,80.16666666666667
C16340,8.333333333333334
C16380,23.5
C16420,11.333333333333334
C16460,18.333333333333332
C16500,33.333333333333336
C16540,54.333333333333336
C16580,55.333333333333336
C16620,97.16666666666667
C16660,44.0
C16700,119.33333333333333
C16740,343.1666666666667
C16820,54.0
C16860,155.83333333333334
C16900,7.833333333333333
C16940,64.16666666666667
C16980,572.8333333333334
C17020,48.5
C17060,40.5
C17140,509.1666666666667
C17220,77.5
C17260,2.6666666666666665
C17300,104.83333333333333
C17340,16.333333333333332
C17380,14.0
C17420,30.5
C17460,242.33333333333334
C17500,11.666666666666666
C17540,18.5
C17580,24.833333333333332
C17660,105.0
C17700,26.666666666666668
C17740,15.0
C17780,57.666666666666664
C17820,247.33333333333334
C17860,53.166666666666664
C17900,175.5
C17940,31.0
C17980,52.666666666666664
C18020,34.666666666666664
C18060,27.0
C18100,12.333333333333334
C18140,306.6666666666667
C18220,1.0
C18260,39.333333333333336
C18300,27.833333333333332
C18340,22.5
C18380,3.1666666666666665
C18420,16.5
C18460,22.666666666666668
C18500,41.0
C18580,85.5
C18620,27.5
C18660,5.0
C18700,20.833333333333332
C18740,23.5
C18820,18.666666666666668
C18860,3.1666666666666665
C18880,79.66666666666667
C18900,29.166666666666668
C18940,33.166666666666664
C18980,33.5
C19020,37.5
C19060,46.833333333333336
C19100,1507.0
C19140,29.5
C19180,25.666666666666668
C19220,36.333333333333336
C19260,31.666666666666668
C19300,67.0
C19340,123.16666666666667
C19380,158.16666666666666
C19460,38.833333333333336
C19500,29.666666666666668
C19540,19.833333333333332
C19580,27.5
C19620,15.0
C19660,119.16666666666667
C19700,4.666666666666667
C19740,604.3333333333334
C19760,26.666666666666668
C19780,124.83333333333333
C19820,550.0
C19860,19.666666666666668
C19900,10.833333333333334
C19940,24.0
C19980,13.833333333333334
C20020,54.5
C20060,18.333333333333332
C20100,26.0
C20140,19.333333333333332
C20180,32.166666666666664
C20220,16.833333333333332
C20260,90.66666666666667
C20300,6.5
C20340,22.666666666666668
C20380,91.83333333333333
C20420,33.166666666666664
C20460,16.666666666666668
C20500,81.0
C20540,14.0
C20580,3.6666666666666665
C20620,34.166666666666664
C20660,12.5
C20700,49.833333333333336
C20740,65.16666666666667
C20780,23.0
C20820,16.166666666666668
C20900,17.666666666666668
C20940,7.5
C20980,31.166666666666668
C21020,25.166666666666668
C21060,41.5
C21120,16.166666666666668
C21140,40.166666666666664
C21220,40.166666666666664
C21260,16.333333333333332
C21300,12.833333333333334
C21340,109.16666666666667
C21380,19.166666666666668
C21420,31.0
C21460,37.333333333333336
C21500,46.166666666666664
C21540,24.666666666666668
C21580,14.666666666666666
C21640,4.333333333333333
C21660,101.16666666666667
C21700,22.0
C21740,14.5
C21780,102.66666666666667
C21820,72.5
C21860,7.0
C21900,3.0
C21980,20.166666666666668
C22020,50.833333333333336
C22060,21.833333333333332
C22100,37.333333333333336
C22140,49.5
C22180,96.5
C22220,206.66666666666666
C22260,47.666666666666664
C22280,24.333333333333332
C22300,27.166666666666668
C22340,10.166666666666666
C22380,60.5
C22420,37.0
C22500,69.0
C22520,52.666666666666664
C22540,20.5
C22580,39.333333333333336
C22620,11.0
C22660,131.83333333333334
C22700,15.666666666666666
C22780,24.333333333333332
C22800,36.833333333333336
C22820,6.666666666666667
C22840,28.833333333333332
C22860,14.166666666666666
C22900,158.16666666666666
C22980,11.5
C23060,78.5
C23140,11.666666666666666
C23180,29.833333333333332
C23240,47.5
C23300,21.5
C23340,11.166666666666666
C23380,24.166666666666668
C23420,81.5
C23460,20.833333333333332
C23500,27.333333333333332
C23540,77.16666666666667
C23580,38.0
C23620,24.333333333333332
C23660,8.166666666666666
C23700,23.666666666666668
C23780,15.166666666666666
C23820,50.666666666666664
C23860,20.5
C23900,49.166666666666664
C23940,50.333333333333336
C23980,30.666666666666668
C24020,37.333333333333336
C24100,8.0
C24140,43.5
C24180,28.333333333333332
C24220,42.333333333333336
C24260,26.5
C24300,77.83333333333333
C24340,146.83333333333334
C24380,10.666666666666666
C24420,41.166666666666664
C24460,12.833333333333334
C24500,58.166666666666664
C24540,69.33333333333333
C24580,71.33333333333333
C24620,24.833333333333332
C24660,199.16666666666666
C24700,1.0
C24740,8.166666666666666
C24780,63.166666666666664
C24820,12.166666666666666
C24860,165.0
C24900,28.833333333333332
C24940,21.5
C24980,1.6666666666666667
C25060,89.83333333333333
C25100,14.666666666666666
C25180,110.16666666666667
C25220,31.166666666666668
C25260,8.166666666666666
C25300,31.666666666666668
C25340,41.166666666666664
C25380,18.333333333333332
C25420,127.33333333333333
C25460,39.333333333333336
C25500,26.5
C25580,26.166666666666668
C25620,64.5
C25660,18.833333333333332
C25700,14.5
C25720,22.5
C25740,57.166666666666664
C25760,4.333333333333333
C25780,9.0
C25820,5.0
C25860,125.0
C25900,22.0
C25940,47.833333333333336
C25980,24.666666666666668
C26020,25.0
C26100,36.166666666666664
C26140,57.5
C26180,30.5
C26220,5.333333333333333
C26260,25.833333333333332
C26300,45.666666666666664
C26340,16.5
C26380,57.333333333333336
C26420,1156.3333333333333
C26460,20.166666666666668
C26480,19.333333333333332
C26500,26.666666666666668
C26580,113.66666666666667
C26620,149.16666666666666
C26660,14.666666666666666
C26700,12.833333333333334
C26740,34.833333333333336
C26780,16.666666666666668
C26820,57.833333333333336
C26860,36.333333333333336
C26900,217.66666666666666
C26940,3.8333333333333335
C26980,38.0
C27020,17.0
C27060,7.833333333333333
C27100,36.833333333333336
C27140,160.83333333333334
C27180,32.833333333333336
C27220,25.833333333333332
C27260,241.83333333333334
C27300,22.666666666666668
C27340,79.83333333333333
C27380,29.666666666666668
C27420,18.5
C27460,26.333333333333332
C27500,61.333333333333336
C27540,12.166666666666666
C27620,107.0
C27660,3.5
C27700,16.0
C27740,54.5
C27780,18.666666666666668
C27860,67.16666666666667
C27900,59.333333333333336
C27940,20.333333333333332
C27980,10.833333333333334
C28020,49.0
C28060,107.0
C28100,18.666666666666668
C28140,500.0
C28180,24.333333333333332
C28260,28.833333333333332
C28340,7.833333333333333
C28380,25.833333333333332
C28420,58.166666666666664
C28500,8.833333333333334
C28540,11.166666666666666
C28580,26.0
C28620,15.166666666666666
C28660,145.5
C28700,103.5
C28740,57.333333333333336
C28780,7.5
C28820,14.833333333333334
C28860,13.333333333333334
C28900,28.666666666666668
C28940,176.33333333333334
C28980,5.666666666666667
C29020,18.166666666666668
C29100,43.166666666666664
C29140,45.333333333333336
C29180,76.83333333333333
C29220,16.0
C29260,43.166666666666664
C29300,11.833333333333334
C29340,49.0
C29380,19.833333333333332
C29420,132.83333333333334
C29460,109.66666666666667
C29500,9.0
C29540,67.0
C29580,8.5
C29620,53.333333333333336
C29660,39.666666666666664
C29700,31.5
C29740,53.5
C29780,16.0
C29820,270.1666666666667
C29860,46.666666666666664
C29900,7.833333333333333
C29940,15.0
C29980,14.0
C30020,59.166666666666664
C30060,27.5
C30140,21.5
C30220,27.166666666666668
C30260,15.5
C30280,8.0
C30300,61.5
C30380,12.0
C30420,12.833333333333334
C30460,113.5
C30500,31.833333333333332
C30580,11.166666666666666
C30620,21.833333333333332
C30660,10.0
C30700,53.166666666666664
C30740,3.0
C30780,262.0
C30820,13.333333333333334
C30860,60.166666666666664
C30900,11.333333333333334
C30940,31.0
C30980,107.83333333333333
C31020,23.333333333333332
C31060,9.333333333333334
C31100,490.3333333333333
C31140,259.5
C31180,85.0
C31260,25.333333333333332
C31300,15.666666666666666
C31340,79.0
C31380,10.0
C31420,57.5
C31460,15.333333333333334
C31500,12.666666666666666
C31540,82.0
C31580,18.333333333333332
C31620,2.0
C31660,19.0
C31740,54.0
C31820,10.666666666666666
C31860,28.166666666666668
C31900,9.833333333333334
C31920,20.666666666666668
C31940,19.833333333333332
C31980,6.5
C32060,40.666666666666664
C32100,22.833333333333332
C32140,10.833333333333334
C32180,5.666666666666667
C32220,30.166666666666668
C32260,17.0
C32270,36.5
C32280,26.166666666666668
C32300,14.166666666666666
C32340,17.5
C32380,20.833333333333332
C32460,48.5
C32500,17.166666666666668
C32540,32.666666666666664
C32580,64.33333333333333
C32620,24.333333333333332
C32660,22.666666666666668
C32700,14.0
C32740,35.0
C32780,75.33333333333333
C32820,174.83333333333334
C32860,22.833333333333332
C32900,25.166666666666668
C32940,46.166666666666664
C32980,16.5
C33020,9.5
C33060,29.666666666666668
C33100,569.5
C33140,12.5
C33180,13.666666666666666
C33220,30.166666666666668
C33260,75.5
C33300,6.5
C33340,162.0
C33380,19.666666666666668
C33420,16.0
C33460,513.1666666666666
C33500,36.0
C33540,63.5
C33580,17.0
C33620,15.333333333333334
C33660,87.33333333333333
C33700,52.5
C33740,71.33333333333333
C33780,27.833333333333332
C33820,13.833333333333334
C33860,72.16666666666667
C33940,39.333333333333336
C33980,23.166666666666668
C34020,4.666666666666667
C34060,48.666666666666664
C34100,42.5
C34140,14.666666666666666
C34180,19.5
C34220,10.833333333333334
C34260,32.333333333333336
C34300,15.833333333333334
C34340,33.333333333333336
C34380,11.833333333333334
C34420,8.833333333333334
C34460,4.5
C34500,22.0
C34540,2.0
C34580,32.666666666666664
C34620,12.166666666666666
C34660,4.0
C34700,23.333333333333332
C34740,37.0
C34780,26.0
C34820,60.666666666666664
C34860,33.0
C34900,23.166666666666668
C34940,44.166666666666664
C34980,271.0
C35020,34.5
C35060,18.333333333333332
C35100,47.166666666666664
C35140,13.0
C35220,11.833333333333334
C35260,48.0
C35340,1.5
C35380,104.66666666666667
C35420,25.166666666666668
C35460,10.333333333333334
C35500,20.833333333333332
C35580,7.833333333333333
C35620,237.66666666666666
C35660,24.666666666666668
C35700,11.5
C35740,17.0
C35820,24.833333333333332
C35840,151.0
C35860,8.5
C35900,31.833333333333332
C35940,10.666666666666666
C36020,22.666666666666668
C36060,18.333333333333332
C36100,105.5
C36180,17.5
C36220,37.666666666666664
C36260,170.83333333333334
C36300,24.166666666666668
C36340,24.666666666666668
C36380,19.666666666666668
C36420,444.1666666666667
C36460,35.166666666666664
C36500,46.666666666666664
C36540,141.83333333333334
C36580,33.5
C36620,25.666666666666668
C36660,25.166666666666668
C36700,13.5
C36740,337.5
C36780,25.166666666666668
C36820,15.0
C36860,57.833333333333336
C36900,15.333333333333334
C36940,8.5
C36980,27.833333333333332
C37020,16.333333333333332
C37060,42.0
C37100,79.33333333333333
C37140,48.166666666666664
C37220,24.5
C37260,16.333333333333332
C37300,14.333333333333334
C37340,143.5
C37380,12.666666666666666
C37420,11.666666666666666
C37460,56.666666666666664
C37500,3.5
C37540,5.333333333333333
C37580,24.666666666666668
C37620,76.66666666666667
C37660,8.833333333333334
C37700,47.5
C37740,38.0
C37780,1.2
C37800,5.833333333333333
C37820,60.666666666666664
C37860,99.83333333333333
C37900,86.33333333333333
C37940,2.0
C37980,343.1666666666667
C38020,17.5
C38060,1076.0
C38180,12.166666666666666
C38200,3.1666666666666665
C38220,31.5
C38260,18.0
C38300,402.1666666666667
C38380,8.0
C38420,19.666666666666668
C38460,7.0
C38500,12.666666666666666
C38540,25.833333333333332
C38580,29.5
C38620,29.0
C38700,10.0
