MSA,Count
C10020,251.0
C10100,164.0
C10140,128.0
C10180,392.0
C10220,131.0
C10300,138.0
C10420,873.0
C10460,173.0
C10500,270.0
C10540,424.0
C10580,574.0
C10620,233.0
C10660,71.0
C10700,239.0
C10740,1355.0
C10760,191.0
C10780,380.0
C10820,169.0
C10860,114.0
C10880,344.0
C10900,637.0
C10940,111.0
C10980,109.0
C11020,267.0
C11060,93.0
C11100,681.0
C11140,73.0
C11180,160.0
C11220,100.0
C11260,1233.0
C11300,169.0
C11340,376.0
C11380,37.0
C11420,89.0
C11460,327.0
C11500,297.0
C11540,429.0
C11580,53.0
C11620,119.0
C11660,86.0
C11700,877.0
C11740,218.0
C11780,250.0
C11820,124.0
C11860,69.0
C11900,133.0
C11940,268.0
C11980,213.0
C12020,446.0
C12060,4674.0
C12140,229.0
C12180,271.0
C12220,231.0
C12260,825.0
C12380,74.0
C12420,2431.0
C12460,144.0
C12540,880.0
C12580,1094.0
C12660,231.0
C12780,247.0
C12820,80.0
C12860,151.0
C12900,237.0
C12940,1156.0
C12980,243.0
C13020,213.0
C13060,76.0
C13100,63.0
C13140,717.0
C13180,284.0
C13220,223.0
C13260,165.0
C13300,85.0
C13340,110.0
C13380,259.0
C13420,105.0
C13460,615.0
C13500,44.0
C13660,125.0
C13700,107.0
C13740,544.0
C13780,291.0
C13820,1434.0
C13860,93.0
C13900,354.0
C13940,267.0
C13980,354.0
C14020,433.0
C14060,314.0
C14100,305.0
C14140,271.0
C14180,58.0
C14220,96.0
C14260,1606.0
C14300,167.0
C14340,165.0
C14380,192.0
C14420,111.0
C14500,643.0
C14540,314.0
C14580,545.0
C14620,147.0
C14660,397.0
C14700,403.0
C14740,262.0
C14780,92.0
C14820,119.0
C14940,160.0
C15020,129.0
C15060,111.0
C15100,65.0
C15140,81.0
C15180,301.0
C15220,142.0
C15260,302.0
C15340,169.0
C15380,697.0
C15420,105.0
C15460,243.0
C15500,321.0
C15580,211.0
C15620,183.0
C15660,134.0
C15700,103.0
C15740,156.0
C15780,158.0
C15820,167.0
C15860,251.0
C15900,114.0
C15940,629.0
C15980,788.0
C16020,390.0
C16060,194.0
C16100,126.0
C16180,184.0
C16220,331.0
C16260,183.0
C16300,470.0
C16340,106.0
C16380,140.0
C16420,67.0
C16460,106.0
C16500,196.0
C16540,315.0
C16580,331.0
C16620,560.0
C16660,234.0
C16700,685.0
C16740,2119.0
C16820,309.0
C16860,913.0
C16900,138.0
C16940,361.0
C16980,3333.0
C17020,252.0
C17060,220.0
C17140,2970.0
C17220,452.0
C17260,16.0
C17300,603.0
C17340,93.0
C17380,92.0
C17420,247.0
C17460,1815.0
C17500,84.0
C17540,120.0
C17580,149.0
C17660,590.0
C17700,136.0
C17740,118.0
C17780,357.0
C17820,1400.0
C17860,300.0
C17900,1126.0
C17940,181.0
C17980,428.0
C18020,201.0
C18060,157.0
C18100,71.0
C18140,1962.0
C18220,28.0
C18260,233.0
C18300,165.0
C18340,136.0
C18380,18.0
C18420,99.0
C18460,133.0
C18500,240.0
C18580,566.0
C18620,150.0
C18660,94.0
C18700,213.0
C18740,165.0
C18820,96.0
C18860,18.0
C18880,457.0
C18900,236.0
C18940,211.0
C18980,278.0
C19020,215.0
C19060,267.0
C19100,8967.0
C19140,266.0
C19180,164.0
C19220,209.0
C19260,188.0
C19300,376.0
C19340,713.0
C19380,1266.0
C19460,284.0
C19500,165.0
C19540,117.0
C19580,163.0
C19620,91.0
C19660,697.0
C19700,28.0
C19740,3959.0
C19760,146.0
C19780,816.0
C19820,3241.0
C19860,122.0
C19900,70.0
C19940,180.0
C19980,77.0
C20020,375.0
C20060,110.0
C20100,155.0
C20140,108.0
C20180,190.0
C20220,105.0
C20260,526.0
C20300,76.0
C20340,151.0
C20380,505.0
C20420,193.0
C20460,101.0
C20500,710.0
C20540,84.0
C20580,21.0
C20620,254.0
C20660,74.0
C20700,308.0
C20740,386.0
C20780,132.0
C20820,113.0
C20900,98.0
C20940,46.0
C20980,191.0
C21020,150.0
C21060,351.0
C21120,97.0
C21140,243.0
C21220,232.0
C21260,94.0
C21300,114.0
C21340,624.0
C21380,113.0
C21420,181.0
C21460,378.0
C21500,266.0
C21540,143.0
C21580,87.0
C21640,85.0
C21660,658.0
C21700,127.0
C21740,76.0
C21780,598.0
C21820,404.0
C21860,43.0
C21900,191.0
C21980,120.0
C22020,307.0
C22060,122.0
C22100,222.0
C22140,307.0
C22180,618.0
C22220,1169.0
C22260,328.0
C22280,344.0
C22300,158.0
C22340,66.0
C22380,352.0
C22420,425.0
C22500,410.0
C22520,308.0
C22540,178.0
C22580,244.0
C22620,66.0
C22660,918.0
C22700,108.0
C22780,143.0
C22800,231.0
C22820,114.0
C22840,200.0
C22860,174.0
C22900,948.0
C22980,70.0
C23060,677.0
C23140,67.0
C23180,179.0
C23240,289.0
C23300,120.0
C23340,61.0
C23380,134.0
C23420,463.0
C23460,206.0
C23500,157.0
C23540,447.0
C23580,499.0
C23620,262.0
C23660,83.0
C23700,134.0
C23780,83.0
C23820,309.0
C23860,129.0
C23900,297.0
C23940,275.0
C23980,214.0
C24020,260.0
C24100,128.0
C24140,244.0
C24180,500.0
C24220,241.0
C24260,144.0
C24300,449.0
C24340,1068.0
C24380,90.0
C24420,230.0
C24460,75.0
C24500,352.0
C24540,1179.0
C24580,503.0
C24620,141.0
C24660,1316.0
C24700,90.0
C24740,59.0
C24780,398.0
C24820,144.0
C24860,1173.0
C24900,173.0
C24940,173.0
C24980,71.0
C25060,505.0
C25100,78.0
C25180,630.0
C25220,277.0
C25260,67.0
C25300,182.0
C25340,268.0
C25380,95.0
C25420,815.0
C25460,336.0
C25500,161.0
C25580,160.0
C25620,416.0
C25660,112.0
C25700,85.0
C25720,129.0
C25740,559.0
C25760,27.0
C25780,90.0
C25820,29.0
C25860,916.0
C25900,128.0
C25940,285.0
C25980,150.0
C26020,156.0
C26100,391.0
C26140,303.0
C26180,182.0
C26220,31.0
C26260,147.0
C26300,264.0
C26340,94.0
C26380,334.0
C26420,6882.0
C26460,141.0
C26480,116.0
C26500,194.0
C26540,96.0
C26580,672.0
C26620,945.0
C26660,159.0
C26700,76.0
C26740,191.0
C26780,90.0
C26820,467.0
C26860,269.0
C26900,1795.0
C26940,77.0
C26980,302.0
C27020,110.0
C27060,113.0
C27100,284.0
C27140,967.0
C27180,262.0
C27220,143.0
C27260,1414.0
C27300,120.0
C27340,468.0
C27380,169.0
C27420,107.0
C27460,164.0
C27500,365.0
C27540,100.0
C27620,781.0
C27660,86.0
C27700,104.0
C27740,336.0
C27780,174.0
C27860,398.0
C27900,442.0
C27940,116.0
C27980,66.0
C28020,393.0
C28060,620.0
C28100,173.0
C28140,2942.0
C28180,140.0
C28260,171.0
C28340,187.0
C28380,152.0
C28420,341.0
C28500,221.0
C28540,66.0
C28580,149.0
C28620,90.0
C28660,884.0
C28700,701.0
C28740,327.0
C28780,89.0
C28820,132.0
C28860,72.0
C28900,238.0
C28940,1179.0
C28980,34.0
C29020,129.0
C29100,253.0
C29140,330.0
C29180,572.0
C29220,114.0
C29260,251.0
C29300,105.0
C29340,344.0
C29380,156.0
C29420,779.0
C29460,640.0
C29500,70.0
C29540,434.0
C29580,76.0
C29620,584.0
C29660,225.0
C29700,192.0
C29740,300.0
C29780,97.0
C29820,1605.0
C29860,395.0
C29900,61.0
C29940,145.0
C29980,103.0
C30020,368.0
C30060,184.0
C30140,191.0
C30220,160.0
C30260,90.0
C30280,181.0
C30300,306.0
C30380,88.0
C30420,76.0
C30460,780.0
C30500,181.0
C30580,62.0
C30620,167.0
C30660,63.0
C30700,304.0
C30740,305.0
C30780,1497.0
C30820,81.0
C30860,351.0
C30900,116.0
C30940,246.0
C30980,679.0
C31020,130.0
C31060,48.0
C31100,2834.0
C31140,1692.0
C31180,570.0
C31260,153.0
C31300,127.0
C31340,509.0
C31380,63.0
C31420,453.0
C31460,98.0
C31500,73.0
C31540,637.0
C31580,140.0
C31620,87.0
C31660,116.0
C31740,296.0
C31820,94.0
C31860,170.0
C31900,270.0
C31920,456.0
C31940,245.0
C31980,101.0
C32020,145.0
C32060,305.0
C32100,153.0
C32140,61.0
C32180,47.0
C32220,277.0
C32260,107.0
C32270,218.0
C32280,150.0
C32300,97.0
C32340,105.0
C32380,123.0
C32460,281.0
C32500,94.0
C32540,192.0
C32580,385.0
C32620,167.0
C32660,135.0
C32700,85.0
C32740,308.0
C32780,606.0
C32820,1027.0
C32860,306.0
C32900,162.0
C32940,294.0
C32980,100.0
C33020,92.0
C33060,165.0
C33100,3383.0
C33140,118.0
C33180,83.0
C33220,255.0
C33260,454.0
C33300,91.0
C33340,1069.0
C33380,114.0
C33420,189.0
C33460,3031.0
C33500,214.0
C33540,354.0
C33580,100.0
C33620,92.0
C33660,504.0
C33700,309.0
C33740,425.0
C33780,242.0
C33820,131.0
C33860,507.0
C33940,218.0
C33980,203.0
C34020,107.0
C34060,427.0
C34100,312.0
C34140,95.0
C34180,113.0
C34220,86.0
C34260,187.0
C34300,137.0
C34340,184.0
C34380,153.0
C34420,81.0
C34460,121.0
C34500,192.0
C34540,162.0
C34580,260.0
C34620,90.0
C34660,179.0
C34700,202.0
C34740,324.0
C34780,173.0
C34820,383.0
C34860,224.0
C34900,137.0
C34940,298.0
C34980,1972.0
C35020,198.0
C35060,114.0
C35100,481.0
C35140,145.0
C35220,97.0
C35260,271.0
C35340,187.0
C35380,716.0
C35420,234.0
C35460,108.0
C35500,149.0
C35580,65.0
C35620,1417.0
C35660,195.0
C35700,71.0
C35740,121.0
C35820,162.0
C35840,926.0
C35860,188.0
C35900,271.0
C35940,71.0
C36020,137.0
C36060,144.0
C36100,643.0
C36180,106.0
C36220,248.0
C36260,955.0
C36300,165.0
C36340,198.0
C36380,113.0
C36420,2623.0
C36460,266.0
C36500,338.0
C36540,909.0
C36580,242.0
C36620,262.0
C36660,269.0
C36700,128.0
C36740,2224.0
C36780,250.0
C36820,88.0
C36860,416.0
C36900,100.0
C36940,74.0
C36980,226.0
C37020,171.0
C37060,249.0
C37100,491.0
C37140,289.0
C37220,218.0
C37260,205.0
C37300,151.0
C37340,854.0
C37380,138.0
C37420,68.0
C37460,332.0
C37500,264.0
C37540,120.0
C37580,149.0
C37620,482.0
C37660,90.0
C37700,305.0
C37740,201.0
C37780,6.0
C37800,89.0
C37820,350.0
C37860,612.0
C37900,621.0
C37940,114.0
C37980,2174.0
C38020,109.0
C38060,6279.0
C38100,173.0
C38180,70.0
C38200,117.0
C38220,356.0
C38260,109.0
C38300,2552.0
C38380,53.0
C38420,146.0
C38460,57.0
C38500,100.0
C38540,219.0
C38580,281.0
C38620,161.0
C38700,120.0
C38740,183.0
C38780,49.0
C38820,155.0
C38900,2770.0
C38940,881.0
C39020,251.0
C39060,244.0
C39100,569.0
C39140,1097.0
C39220,83.0
C39260,443.0
C39340,1000.0
C39380,319.0
C39420,109.0
C39460,252.0
C39500,359.0
C39540,309.0
C39580,1207.0
C39660,679.0
C39700,8.0
C39740,506.0
C39780,124.0
C39820,244.0
C39860,177.0
C39900,911.0
C39940,201.0
C39980,89.0
C40060,1233.0
C40080,256.0
C40100,77.0
C40140,1943.0
C40180,282.0
C40220,541.0
C40260,123.0
C40300,177.0
C40340,285.0
C40380,997.0
C40420,384.0
C40460,103.0
C40540,260.0
C40580,362.0
C40620,203.0
C40660,292.0
C40700,400.0
C40740,155.0
C40760,114.0
C40780,216.0
C40820,183.0
C40900,1052.0
C40940,197.0
C40980,245.0
C41060,358.0
C41100,405.0
C41140,396.0
C41180,3727.0
C41220,145.0
C41260,92.0
C41420,789.0
C41460,145.0
C41500,122.0
C41540,198.0
C41580,356.0
C41620,1656.0
C41660,294.0
C41700,2800.0
C41740,783.0
C41780,129.0
C41820,179.0
C41860,578.0
C41940,438.0
C42020,261.0
C42060,251.0
C42100,85.0
C42140,279.0
C42220,185.0
C42300,104.0
C42340,394.0
C42380,251.0
C42420,159.0
C42460,166.0
C42500,47.0
C42540,761.0
C42580,363.0
C42620,350.0
C42660,2537.0
C42680,231.0
C42700,249.0
C42740,175.0
C42780,118.0
C42820,46.0
C42860,123.0
C42900,97.0
C42940,260.0
C42980,143.0
C43060,321.0
C43100,129.0
C43140,211.0
C43180,249.0
C43220,117.0
C43260,111.0
C43300,293.0
C43320,236.0
C43340,830.0
C43380,133.0
C43420,450.0
C43460,136.0
C43500,85.0
C43540,53.0
C43580,330.0
C43620,472.0
C43660,66.0
C43700,247.0
C43740,222.0
C43780,362.0
C43860,342.0
C43900,491.0
C43940,339.0
C43980,88.0
C44020,131.0
C44060,549.0
C44100,469.0
C44180,1175.0
C44220,288.0
C44260,73.0
C44300,242.0
C44340,164.0
C44380,497.0
C44420,173.0
C44500,206.0
C44540,69.0
C44580,64.0
C44600,322.0
C44620,296.0
C44660,172.0
C44700,343.0
C44740,78.0
C44780,108.0
C44860,187.0
C44900,136.0
C44940,120.0
C44980,192.0
C45000,56.0
C45020,70.0
C45060,730.0
C45140,184.0
C45180,229.0
C45220,520.0
C45260,25.0
C45300,2897.0
C45340,51.0
C45380,136.0
C45460,449.0
C45500,320.0
C45520,73.0
C45540,117.0
C45580,86.0
C45620,106.0
C45640,440.0
C45660,117.0
C45700,69.0
C45740,94.0
C45780,645.0
C45820,664.0
C45900,285.0
C45980,103.0
C46020,92.0
C46060,1430.0
C46100,290.0
C46140,2182.0
C46180,370.0
C46220,238.0
C46260,86.0
C46300,295.0
C46340,565.0
C46380,106.0
C46420,72.0
C46460,109.0
C46500,200.0
C46540,485.0
C46620,82.0
C46660,184.0
C46700,196.0
C46740,166.0
C46780,94.0
C46820,65.0
C46860,116.0
C46900,34.0
C46980,115.0
C47020,368.0
C47080,135.0
C47180,105.0
C47260,1395.0
C47300,314.0
C47340,124.0
C47380,502.0
C47420,162.0
C47460,106.0
C47500,111.0
C47540,111.0
C47580,208.0
C47620,266.0
C47660,207.0
C47700,160.0
C47780,114.0
C47820,178.0
C47900,3725.0
C47920,102.0
C47940,413.0
C47980,110.0
