,Firearm Prevalence,Homicides,Firearm Homicides,Armed_Robberies,Fireaarm  licenses
0,0.0181276,0.142382529,0.153057101,-0.780405394,0.091176091
1,-0.025950692,0.085256523,0.122034717,0.200919388,0.031498111
2,0.047582896,0.21490147,0.314903603,-0.433146668,0.009117611
3,0.150921875,0.376106049,0.45617552,0.854373783,-0.038866074
4,-0.062293771,-0.104868372,-0.201005168,-0.730102531,0.21618305
5,-0.167015161,-0.335816853,-0.472562002,-0.175215656,-0.215566895
6,0.03696662,0.105263948,0.246834523,0.202460876,0.158358019
7,-0.039365404,-0.516227742,-0.58075711,0.405423047,-0.156954701
8,0.074937183,0.001575322,0.105925881,-0.30965264,0.042597235
9,0.023992812,0.265936316,0.252424157,0.102576116,0.14822884
10,0.073754941,0.442132143,0.493619445,-0.289208401,0.106949269
11,-0.027131766,-0.438081588,-0.382307875,0.312683736,0.160572693
12,-0.043395995,-0.266742114,-0.287482206,-0.116013522,-0.155401777
13,-0.013693797,-0.484499616,-0.501427716,-0.262325605,0.01567843
14,0.015347432,0.125080662,0.107959807,0.443950497,0.205749166
15,0.158813503,0.526670965,0.667055059,0.230580456,-0.187759171
16,-0.106578834,-0.462809632,-0.678244479,-0.137098484,-0.135148538
17,-0.048506351,-0.444712428,-0.520104526,-0.300352438,-0.146704284
18,0.081228876,0.276497586,0.338386571,0.263202748,0.343991506
19,-0.215237827,0.133621363,0.160195879,0.190180984,-0.288007101
20,-0.014689073,-0.272204384,-0.640461822,-0.126378874,-0.093221364
21,-0.102685992,-0.198385646,-0.215036121,0.272093014,-0.205970635
22,0.153871769,0.433026215,0.558211381,-0.401037513,0.084076115
23,-0.037314375,-0.390978385,-0.42231436,-0.339043203,0.03793542
24,0.031319564,0.343308972,0.444475279,0.010999485,-0.065201585
25,-0.162319856,0.107748213,0.175108087,0.075255251,0.014898854
26,0.010217426,-0.162086757,-0.162464475,0.105815545,0.159799187
27,-0.029561949,0.419426851,-0.083584099,0.071740137,0.054408271
28,-0.058955985,-0.233081153,-0.399953607,-0.178536547,0.015941248
29,0.054706077,-0.580478069,-0.662295837,-0.434129345,-0.104774858
30,0.009878675,0.221036876,0.32016373,0.447869307,0.26138484
31,0.094927526,0.166497355,0.29563533,-0.528938378,0.040545032
32,0.086100144,-0.056288932,0.067050884,0.541373194,0.091338303
33,0.101997102,0.100443333,0.135668245,0.054918353,0.152891119
34,-0.44118166,-0.784978635,-0.745623258,-0.040224707,0.156334465
35,0.089816544,0.323403703,0.468215463,-0.073051329,-0.120544466
36,0.111340825,0.297525755,0.379316037,0.447711612,0.054165966
37,0.044977605,-0.262232471,-0.29405319,-0.26353651,0.164223405
38,0.106797396,0.198633336,0.386899214,-0.011192685,0.187348743
39,-0.080627794,0.302262887,0.32512328,-0.327574676,-0.032054198
40,-0.06932345,0.386313262,0.436266416,0.24284577,-0.267081264
41,0.03605196,-0.692098307,-0.949376981,0.057108043,0.143021984
42,-0.053619728,0.2312082,0.154725195,-0.322374056,0.232084468
43,0.174856552,0.676753841,0.824241226,0.002349474,-0.05743068
44,-0.14913345,-0.42564542,-0.902661768,-0.379990793,-0.014698509
