,Firearm Prevalence,Fireaarm  licenses,Homicides,Firearm Homicides,Gini,Urbanicity,Armed_Robberies
0,0.01682299,0.092269387,0.153227578,0.17216845,0.454816667,3,-0.780405394
1,-0.024514259,0.037676306,0.070303316,0.101293133,0.467383333,2,0.200919388
2,0.044440312,0.006801287,0.243045241,0.360737875,0.453783333,4,-0.433146668
3,0.149402774,-0.038170679,0.38896985,0.47840542,0.48025,3,0.854373783
4,-0.064210142,0.21614147,-0.088265525,-0.17299922,0.421716667,3,-0.730102531
5,-0.165141657,-0.208577891,-0.354883702,-0.499658307,0.440583333,2,-0.175215656
6,0.072513638,0.041614799,0.022951606,0.141305796,0.475366667,4,-0.30965264
7,0.025928426,0.155333066,0.246284888,0.224424799,0.4695,2,0.102576116
8,0.072253363,0.107677171,0.454831019,0.515594571,0.47295,3,-0.289208401
9,-0.041622992,-0.148599211,-0.284863068,-0.313117301,0.4415,2,-0.116013522
10,-0.015612523,0.015632482,-0.467874608,-0.473387533,0.445216667,3,-0.262325605
11,0.014885763,0.2084062,0.127992078,0.114815344,0.461433333,2,0.443950497
12,-0.108979047,-0.136087691,-0.441652943,-0.643203794,0.4664,3,-0.137098484
13,0.081571704,0.348140957,0.271837219,0.33354528,0.4253,2,0.263202748
14,-0.102521142,-0.20215135,-0.201370913,-0.217289731,0.481316667,2,0.272093014
15,0.151804,0.083753678,0.45105399,0.588418546,0.459766667,3,-0.401037513
16,-0.037997235,0.040182123,-0.385985151,-0.412242848,0.408266667,3,-0.339043203
17,0.010804002,0.164400815,-0.16904125,-0.170849712,0.456733333,2,0.105815545
18,-0.031933479,0.053522327,0.440313579,-0.048960446,0.454816667,4,0.071740137
19,0.05156146,-0.107094951,-0.552315175,-0.616432023,0.50472,4,-0.434129345
20,0.092181263,0.038963923,0.190911005,0.335707342,0.47335,4,-0.528938378
21,0.085171541,0.093129128,-0.048982799,0.080695344,0.507116667,3,0.541373194
22,0.107519346,0.166648887,0.047035129,0.055521698,0.470083333,1,0.054918353
23,-0.444003275,0.154613571,-0.759855781,-0.704455674,0.429716667,4,-0.040224707
24,0.088391142,-0.119675251,0.335385627,0.489083047,0.5081,3,-0.073051329
25,0.112459505,0.059754699,0.285563185,0.363194363,0.461033333,2,0.447711612
26,0.048513491,0.174296287,-0.296945388,-0.345319413,0.461733333,1,-0.26353651
27,-0.078740443,-0.025039508,0.283065713,0.297825651,0.4653,2,-0.327574676
28,-0.065218797,-0.255953263,0.346247191,0.376730684,0.456416667,1,0.24284577
29,0.117730468,0.112243446,0.466040853,0.546875504,0.477033333,2,0.493924426
30,-0.021395428,-0.048110505,0.09439428,0.137422089,0.44485,3,-0.076412092
31,-0.037406454,-0.034370169,-0.179898497,-0.120785862,0.439816667,3,-0.181571534
32,0.040240832,0.106339453,0.308184925,0.355872596,0.474433333,2,0.302306667
33,-0.115641552,0.139379718,-0.520822587,-0.770521791,0.399383333,4,-0.097388508
34,0.040873555,-0.052645285,0.297612271,0.310963566,0.454283333,3,0.575386063
35,-0.020186344,-0.158882314,-0.243766587,-0.4048996,0.439233333,3,-0.697643447
36,0.003543393,0.266160998,-0.38397395,-0.345238036,0.444716667,3,-0.910215936
37,0.022664084,0.235234221,-0.055585953,-0.187236676,0.45595,3,-0.247976182
38,-0.100677731,-0.137925837,-0.295403284,-0.52687239,0.45645,2,-0.04966948
39,0.140623835,0.114193932,0.428840633,0.50132268,0.482716667,1,0.230118562
40,-0.003153328,0.122628833,-0.152450307,-0.238916585,0.440766667,3,-0.297679441
41,0.004319244,0.028093188,-0.297856493,-0.279740594,0.4759,3,-0.346752604
42,-0.058288233,0.14142308,-0.252825785,-0.261717405,0.484983333,3,-0.032494411
43,0.070198203,0.077434175,0.219616368,0.212944609,0.444366667,4.5,0.464942176
44,0.059053707,0.30240028,-0.474650441,-0.532423737,0.454616667,2,-0.446449016
45,-0.068858899,0.126968964,-0.507570097,-0.850427206,0.4823,2,-0.88486088
46,0.045154705,-0.008091298,0.06706962,0.050790451,0.46825,3,0.164367433
47,-0.010315702,0.268536453,-0.32740054,-0.402874342,0.444666667,6.5,-0.044715436
48,0.055250338,0.296472342,0.0321416,0.084056312,0.43528,5,-0.347570093
49,-0.058583852,-0.207444067,-0.251176331,-0.446357605,0.418733333,2,-0.790534408
50,-0.068494672,-0.280117287,-0.310434215,-0.392151923,0.4825,2,-0.716563071
51,0.069671365,0.085219481,0.250357695,0.309816584,0.486566667,3,0.450263607
52,-0.221953968,-0.195268286,0.024067286,0.009677789,0.462466667,1,0.155175366
53,0.018257963,0.01976348,0.140310857,0.163910709,0.4561,3,0.48610155
54,-0.011602315,0.055038129,0.042301871,0.08492315,0.439016667,2,0.03936929
55,0.019281598,-0.016462929,0.00364145,0.066622186,0.475316667,2,0.211779272
56,0.035992993,0.249136933,0.265044135,0.420549502,0.45305,3,0.327179719
57,0.061354183,-0.126638978,-0.131657946,-0.002879645,0.486583333,3,0.635514943
58,-0.053787452,0.084652013,0.01328245,-0.221118289,0.450583333,3,-0.046083605
59,0.027143457,0.231276601,0.106986676,0.206033134,0.435483333,3,-0.231556473
60,-0.076795944,0.041649706,-0.169193471,-0.196811179,0.427483333,2,0.386691848
61,0.020036929,0.013723383,-0.123342019,-0.102724256,0.414533333,4,-0.508923525
62,0.04736185,0.025815103,-0.31995806,-0.251997966,0.407766667,3,0.203011872
63,-0.180472738,-0.076906403,-0.110453323,-0.065134554,0.492916667,3,0.565858308
64,0.057215131,0.180101238,0.322676728,0.385994938,0.479766667,3,0.411444037
65,-0.059707546,0.151355196,-0.177332779,-0.115014364,0.4678,7,0.274599852
66,0.041477739,-0.09189885,0.286026668,0.36887772,0.475033333,2,0.478350322
67,0.072174827,0.063420233,-0.009534303,0.003837336,0.476033333,1,0.250619506
68,0.062516989,-0.098756644,-0.197938824,-0.201512993,0.4847,3,-0.101535091
69,0.060699752,0.124762047,0.163003549,0.214959808,0.468833333,2,0.140427499
70,0.031452155,0.21315218,0.11042906,0.194193941,0.436016667,3,-0.020000158
71,-0.10015311,-0.119332732,0.100400061,0.101536766,0.4825,1,0.071312473
72,-0.008014106,-0.179808591,-0.083403344,-0.10539,0.49305,3,0.232085931
73,-0.066317764,0.066545748,-0.056566937,-0.046640843,0.4445,4,-0.511518495
