,Firearms,Firearm Licenses,Homicides
0,0.034859806,0.108482082,-0.482446093
1,-0.033547252,-0.150107919,0.016034968
2,0.018980606,0.090892794,0.149997009
3,0.054862554,0.043896511,0.351394321
4,-0.025374308,-0.205472629,-0.249090752
5,-0.026689762,0.031557341,0.080833601
6,0.04950345,0.008604637,0.23058749
7,0.151899463,-0.039176174,0.384662473
8,-0.061085437,0.215823306,-0.094567318
9,-0.168008094,-0.215453047,-0.342159191
10,0.03896506,0.157828288,0.121538846
11,-0.036582331,-0.157653242,-0.494020365
12,0.076440099,0.042174114,0.01410365
13,0.022963802,0.148350449,0.259321215
14,0.074722351,0.106641359,0.450611614
15,-0.02457965,0.159923842,-0.417620434
16,-0.053381733,-0.036735314,0.292358389
17,-0.044330555,-0.155300488,-0.272643099
18,-0.062872778,-0.049104596,-0.337359858
19,-0.083406472,0.047020319,-0.462779226
20,-0.012484096,0.015318393,-0.474188222
21,0.061040469,0.013708399,0.141442721
22,0.015710833,0.205571205,0.128993329
23,0.161429051,-0.188421669,0.547611716
24,-0.105089471,-0.135568743,-0.450383766
25,-0.046264478,-0.147286387,-0.426596974
26,0.081125003,0.343914077,0.276877277
27,-0.211860746,-0.288833439,0.160319923
28,-0.012040422,-0.093890984,-0.251013355
29,-0.10268649,-0.206070305,-0.197224357
30,0.155168039,0.083697453,0.443992137
31,-0.0368225,0.037729818,-0.386094348
32,-0.004567974,-0.335432557,0.295284845
33,0.033584711,-0.065788696,0.361600396
34,-0.159190496,0.014125812,0.132573801
35,0.009971977,0.159752217,-0.1627775
36,-0.071923047,0.168727809,-0.288393169
37,-0.028089246,0.053991649,0.431726753
38,-0.056443598,0.015300944,-0.212920382
39,-0.155794431,0.00975179,-0.014363669
40,0.056627811,-0.105288086,-0.564783126
41,0.012042212,0.260819589,0.238560051
42,0.096617885,0.040081583,0.180442911
43,0.086734754,0.091101993,-0.050325702
44,0.098884876,0.153460922,0.078077405
45,0.032509284,0.253424624,-0.959650226
46,-0.439447535,0.1558616,-0.770702167
47,0.09073971,-0.120842857,0.331548646
48,0.110786315,0.054185489,0.294498257
49,-0.214916665,-0.213934255,-0.443286578
50,0.043019113,0.164544988,-0.275875225
51,0.109725838,0.186618927,0.22193982
52,-0.08162877,-0.03193862,0.29585974
53,-0.071612299,-0.266688607,0.37017274
54,0.0380051,0.142501999,-0.676165914
55,-0.051432206,0.231514057,0.248912716
56,0.177825999,-0.058169318,0.700370358
57,-0.147075133,-0.015241122,-0.408917798
58,0.092017447,0.30782696,-0.04788541
59,0.115044706,0.105566031,0.478191585
60,-0.018512973,-0.048693799,0.088861809
61,-0.033759662,-0.034116937,-0.187858298
62,0.059843114,-0.181364041,0.228968383
63,-0.151941731,-0.111111603,-0.628829521
64,0.039725658,0.102037633,0.313442436
65,-0.11146905,0.140208312,-0.530451908
66,0.044108917,-0.052842341,0.290959062
67,-0.131422288,0.093581609,-0.387119633
68,-0.293185255,-0.099235748,0.285562394
69,-0.077304694,-0.081449617,0.012609941
70,-0.018795201,-0.16109777,-0.24456304
71,-0.153267433,-0.107469395,0.206910595
72,0.005467321,0.264528646,-0.386462388
73,0.053707145,-0.329701828,0.796794256
74,0.046058109,-0.012395792,-0.487416268
75,0.037004728,-0.042118563,0.354555411
76,0.024828722,0.233865314,-0.058838823
77,-0.099605784,-0.140490637,-0.295186052
78,0.136951074,0.106436298,0.444125816
79,-0.000191793,0.122132088,-0.158233914
80,-0.020650836,0.301547565,0.088209814
81,0.006262602,0.026482102,-0.300406636
82,-0.056066513,0.140116646,-0.256259929
83,0.074015156,0.183258112,0.012800739
84,0.073922699,0.07777245,0.211409799
85,0.009461139,-0.340295007,0.830217295
86,0.038898702,-0.146785702,0.303148291
87,0.056878125,0.296281229,-0.464119906
88,-0.007936951,0.249761957,-0.123453405
89,0.04487199,0.108364194,-0.598215987
90,0.05892479,0.13806846,0.330811286
91,-0.068642363,0.123467961,-0.504636303
92,0.047269194,-0.009515091,0.063976011
93,0.047326346,0.369907158,-0.398718997
94,0.024519402,0.069378656,-0.468226099
95,-0.006318922,0.269172729,-0.336471813
96,0.059477832,0.297361123,0.022337638
97,-0.057769601,-0.210290902,-0.250140725
98,0.16036209,-0.08477128,-0.259923959
99,-0.032039226,0.038116447,0.059893511
100,0.082040136,0.06704194,0.769725562
101,0.073397418,0.121983473,-0.349556166
102,-0.180394205,-0.229602046,-0.550750874
103,-0.069112207,-0.284531137,-0.30485163
104,0.069617737,0.080952363,0.053806267
105,0.072973101,0.085095068,0.243493699
106,0.013238829,0.127787886,-0.250024132
107,-0.225585218,-0.202980489,0.039220643
108,-0.023589472,-0.094924649,-0.130933102
109,-0.021324926,0.256420493,0.324120071
110,0.020569326,0.018555156,0.136592027
111,0.016757841,0.278365424,-0.012425513
112,-0.059697434,0.121954327,-0.540073355
113,0.064644789,-0.061248393,0.015956734
114,0.029209945,-0.011554053,0.354907835
115,-0.096845336,0.112803515,-0.012515053
116,0.03952434,0.202122838,0.371973306
117,0.090383587,0.265697043,0.195644827
118,-0.021552021,0.264816639,0.16841765
119,-0.055452177,0.006652946,-0.165871756
120,-0.012057528,0.050801932,0.047368964
121,0.017002149,-0.022695657,0.014501841
122,0.039864044,0.249635606,0.256372142
123,0.064444247,-0.126995054,-0.137849729
124,0.047296499,-0.090228702,0.442289597
125,-0.048174177,0.087057458,-0.000922389
126,0.031589387,0.232404449,0.096489019
127,0.030491448,0.107943586,-0.262696523
128,-0.076032343,0.038747437,-0.167997012
129,0.082469406,-0.074726799,0.329871146
130,-0.028192861,0.052892899,-0.460285502
131,-0.128912291,-0.046176316,0.09931694
132,0.024590763,0.014969327,-0.134182352
133,0.049826648,0.024774705,-0.324164159
134,-0.17934603,-0.079411271,-0.110409998
135,0.058650382,0.177934055,0.321740201
136,-0.054500256,0.153316312,-0.190248317
137,0.03904104,-0.098303679,0.297386441
138,0.066128772,0.053065153,0.013287841
139,0.063730067,-0.101166984,-0.198169786
140,0.059252635,0.119440264,0.171220669
141,0.035297063,0.213622241,0.101840091
142,-0.110286032,-0.134160675,0.136201029
143,-0.006720187,-0.182130454,-0.083891039
144,-0.061735327,0.067822996,-0.067498107
145,0.041996527,0.239647734,-0.010501704
146,0.035758825,0.32536436,0.043475565
147,0.102169302,-0.730001593,0.984423885
148,0.058201054,0.129742192,0.261561817
149,-0.04660076,-0.254315021,0.477331596
150,0.175381322,-0.061232271,0.696268931
151,0.067410706,-0.014118531,0.024563445
152,0.006956126,0.041504103,0.194595512
153,0.061587508,-0.163206729,0.452510247
154,-0.15246836,-0.054690045,-0.307039376
155,0.046787785,0.022802123,0.267143343
156,0.051053199,0.293509011,-0.20565272
157,0.117161321,0.104258837,0.249744482
158,-0.061746906,-0.038880174,-0.36493621
159,0.04436546,-0.065869993,-0.171019518
160,0.012110746,0.231045097,0.058951653
161,-0.010316167,-0.036493298,0.085295569
162,0.088034428,0.097934008,0.246591648
163,0.119823312,-0.041811218,0.470784032
164,-0.021922893,0.011065916,-0.370094583
165,0.073999728,-0.003549181,0.388431515
166,-0.104976187,-0.180567647,-0.231674846
167,0.023622722,0.074840895,0.067618789
168,-0.153321789,-0.483792212,-0.18631348
169,0.073761457,-0.011112145,-0.140188071
170,0.028595823,-0.002485907,-0.03741903
171,0.13746842,-0.668714436,0.627074428
172,0.008372515,-0.069969683,0.556397132
173,0.014799367,0.006472106,0.021832274
174,-0.045950527,0.040268737,-0.654932182
175,0.079542621,-0.029888372,0.172777078
176,-0.0216562,0.031928605,0.090559925
177,-0.235851478,-0.166457993,-0.316686783
178,-0.003935584,0.009485182,-0.473270426
179,0.115265931,0.156677503,-0.581630104
180,0.072881409,-0.091568823,-0.001573675
181,-0.000237455,-0.723874873,0.485646992
182,0.066149878,0.025017303,0.02320885
183,0.1268981,0.174767421,-0.035335359
184,-0.018581259,0.149369321,0.001271957
185,-0.005146951,0.079890047,-0.161057312
186,0.096546633,0.371318429,-0.098801545
187,0.055818669,-0.029165035,-0.316085795
188,-0.078621833,-0.06306165,0.422927564
189,0.064404829,0.14528395,-0.033818451
190,0.107184399,-0.083378991,0.514021858
191,0.037938258,0.01136024,-0.098400234
192,-0.128440798,0.118993547,0.022074123
193,0.024250752,0.154966579,0.153219148
194,0.076986951,-0.017114604,0.270899751
195,-0.091543681,-0.149030643,0.214022244
196,-0.065882946,0.017431037,-0.5646608
197,-0.105704118,0.138632625,-0.427061136
198,-0.013629308,-0.185962203,-0.246651869
199,0.021498543,-0.039599639,-0.007966763
200,0.102756038,-0.495476157,0.219930225
201,-0.008009384,0.284850501,-0.132269078
202,0.116026581,0.101195532,0.289462361
203,-0.064198286,0.030013435,-0.151195497
204,0.009504324,0.081117898,0.174872634
205,0.086484049,0.072383307,-0.803601065
206,-0.169076242,0.212220976,-0.375564711
207,-0.202182747,-0.155019358,0.104158838
208,0.111238758,0.111527057,0.245367103
209,0.05722062,-0.066193881,0.418576167
210,-0.056542603,-0.321517921,0.096244088
211,0.082840176,-0.155798536,0.3155195
212,0.085306273,-0.007329652,-0.308733605
213,-0.157540117,-0.319386919,-0.400729523
214,-0.044051657,0.076919789,-0.375966697
215,0.06082946,-0.032004861,-0.030764357
216,-0.045226721,0.066332022,-0.015932172
217,0.05783455,0.275369078,0.160326709
218,0.067962649,0.105578138,-0.004668214
219,-0.038346948,-0.122741923,-0.091426024
220,-0.026328329,0.005521335,0.218718477
221,0.007038245,-0.14429138,0.145624893
222,-0.383438212,-0.870771161,-0.151572815
223,-0.078176876,-0.197047564,-0.289839451
224,0.010699159,-0.009420194,-0.143567082
225,0.008770324,0.089731069,-0.539625279
226,-0.116519341,-0.053285577,-0.295366893
227,-0.080737942,0.011239848,0.190754414
