Rank,SAMIs of Firearm Prevalance,MSA_name,,Rank,SAMIs for number of firearm licences,MSA_name,,Rank,SAMIs for number of homicides,MSA_name
1,0.184398541,"Natchitoches, LA MicroSA",,1,0.605832433,"Fredericksburg, TX MicroSA",,1,1.112692155,"Helena-West Helena, AR MicroSA"
2,0.177878573,"Bastrop, LA MicroSA",,2,0.566945609,"La Grande, OR MicroSA",,2,0.985169149,"Clarksdale, MS MicroSA"
3,0.175433281,"Cleveland, MS MicroSA",,3,0.549255107,"Kalispell, MT MicroSA",,3,0.982671699,"Selma, AL MicroSA"
4,0.169688161,"Tuscaloosa, AL MSA",,4,0.51625533,"Prescott, AZ MSA",,4,0.973910291,"Greenville, MS MicroSA"
5,0.165193826,"Statesboro, GA MicroSA",,5,0.507895335,"Mayfield, KY MicroSA",,5,0.869151733,"Indianola, MS MicroSA"
6,0.161480752,"Americus, GA MicroSA",,6,0.492569928,"Riverton, WY MicroSA",,6,0.843930818,"Grenada, MS MicroSA"
7,0.160413822,"Brenham, TX MicroSA",,7,0.48425685,"Bozeman, MT MicroSA",,7,0.830869253,"Blytheville, AR MicroSA"
8,0.155216488,"Anniston-Oxford-Jacksonville, AL MSA",,8,0.477415057,"Rapid City, SD MSA",,8,0.808357517,"Greenwood, MS MicroSA"
9,0.151947126,"Albany, GA MSA",,9,0.450777745,"Lewiston, ID-WA MSA",,9,0.804232586,"Pine Bluff, AR MSA"
10,0.151025233,"Troy, AL MicroSA",,10,0.449347332,"Gillette, WY MicroSA",,10,0.797518046,"Bennettsville, SC MicroSA"
11,0.144333557,"Hattiesburg, MS MSA",,11,0.448031786,"Gardnerville Ranchos, NV MicroSA",,11,0.787237866,"Lumberton, NC MicroSA"
12,0.142146006,"London, KY MicroSA",,12,0.437461948,"Blackfoot, ID MicroSA",,12,0.774660542,"Forrest City, AR MicroSA"
13,0.14172079,"Scottsboro, AL MicroSA",,13,0.431764267,"Butte-Silver Bow, MT MicroSA",,13,0.771614091,"Henderson, NC MicroSA"
14,0.141086856,"Tifton, GA MicroSA",,14,0.431025574,"Parkersburg-Vienna, WV MSA",,14,0.770410626,"Brookhaven, MS MicroSA"
15,0.140926498,"Meridian, MS MicroSA",,15,0.427846035,"Clarksburg, WV MicroSA",,15,0.762521968,"Natchez, MS-LA MicroSA"
16,0.140699934,"Enterprise, AL MicroSA",,16,0.423853316,"Batesville, AR MicroSA",,16,0.701100692,"Bastrop, LA MicroSA"
